C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,312.5,0.1085507,-0.1583292,312.5,0.0005992,0.0001041,312.5,0.0009424,-0.0010222,312.5,0.0002685,0.0015651,312.5,10.1113377,55.2758713,312.5,-7.6777129,6.1161909
,318.75,0.0268487,0.16551,318.75,-0.0003085,0.0002587,318.75,-0.0015705,0.0003678,318.75,0.0000994,-0.0002987,318.75,0.0339116,-17.2804527,318.75,16.0667591,-2.5955613
,325,-0.1075065,-0.1342955,325,0.0000763,0.000241,325,0.0006342,0.0010886,325,0.0000368,-0.0003948,325,-14.8021774,-24.9236565,325,-2.2631333,-9.9822741
,331.25,-0.0805871,0.2928,331.25,-0.0008855,-0.0012445,331.25,0.0005158,-0.0009369,331.25,-0.001705,-0.0005841,331.25,24.1481075,15.0223541,331.25,-13.9581461,-3.9139419
,337.5,0.1177525,-0.3165087,337.5,0.0019705,0.0013764,337.5,0.0007406,0.0003652,337.5,0.0018168,0.0011448,337.5,-56.8449707,-10.6678991,337.5,-6.7258263,6.0125847
,343.75,0.0676588,0.2060728,343.75,-0.0016635,-0.0001451,343.75,-0.0018127,-0.0000815,343.75,-0.0007914,-0.0009514,343.75,57.4457932,31.5873318,343.75,21.1637821,6.9272194
,350,-0.1946632,-0.1834631,350,-0.0003609,-0.0012969,350,0.001262,0.000352,350,0.0019125,0.0004923,350,-13.3480816,-19.7092209,350,-17.8509464,-11.973196
,356.25,0.1029743,0.1398025,356.25,0.001721,0.0013414,356.25,-0.0005144,-0.0010243,356.25,-0.002106,-0.0000666,356.25,-9.4170141,6.5899291,356.25,13.9384632,13.9421463
,362.5,0.1119121,-0.0001173,362.5,-0.0011927,-0.0015933,362.5,0.0001215,-0.0020412,362.5,0.0007799,0.0006347,362.5,6.9442954,4.8190231,362.5,-8.4417963,22.5815125
,368.75,-0.1646986,-0.1106874,368.75,0.0001295,0.002323,368.75,-0.0002447,0.0032426,368.75,-0.0007717,0.0004117,368.75,-13.1176949,-9.4918833,368.75,5.0002789,-31.8250256
