C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_9.xdf,12.12.24,16:28:06,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,312.5,0.1589123,0.2383885,312.5,0.0040384,-0.0047266,312.5,0.0022509,-0.0008938,312.5,0.0023621,-0.0017138,312.5,3.4621959,16.6136913,312.5,-6.5915403,21.167902
,318.75,-0.2216156,-0.1734924,318.75,-0.0016058,0.0028285,318.75,-0.0007435,0.0002085,318.75,-0.0013613,0.000577,318.75,-7.8229966,-25.1824055,318.75,-2.7521451,-3.2025399
,325,0.0342945,0.1564228,325,-0.0006,0.0000726,325,-0.0022833,0.0018202,325,0.0006194,0.0005609,325,6.3755703,-13.5274658,325,13.1365299,-16.4645424
,331.25,0.1851306,-0.3515035,331.25,0.0027481,-0.0011731,331.25,0.0078739,-0.0040186,331.25,-0.0011182,-0.0000099,331.25,-55.0909576,35.8443451,331.25,-58.3086586,26.7355156
,337.5,-0.1149504,0.3276117,337.5,-0.0039238,0.0019282,337.5,-0.0110845,0.0059385,337.5,0.0011884,-0.0010189,337.5,77.3227081,2.9970334,337.5,74.799408,-40.3596535
,343.75,0.0070246,0.0656321,343.75,0.0020768,-0.0019542,343.75,0.0079272,-0.0047368,343.75,0.0000241,0.0004891,343.75,-52.8655205,-68.2498856,343.75,-49.2019806,16.6538296
,350,0.0094492,-0.1283092,350,-0.0019995,0.0001383,350,-0.0062153,0.0017021,350,-0.0025603,0.0025982,350,43.013092,99.0008011,350,37.3430023,49.5148964
,356.25,0.0440993,-0.104457,356.25,0.002224,0.002506,356.25,0.00598,0.0020965,356.25,0.0032898,-0.0041172,356.25,-24.2757626,-66.9048462,356.25,-31.3785934,-77.4334641
,362.5,-0.132528,0.0699306,362.5,-0.0013862,-0.0024193,362.5,-0.0016928,-0.0031057,362.5,-0.001336,0.0016288,362.5,-6.4429731,14.7619467,362.5,10.9264641,30.3946953
,368.75,0.0357969,-0.0199958,368.75,0.0021203,-0.0005323,368.75,-0.0012202,-0.0036146,368.75,-0.0005418,0.0009841,368.75,14.423728,6.102437,368.75,-5.2814355,45.4214325
